Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
A,- Colágeno,6062590,76523,Collagen Renew Laranja Caixa C/20 Sachês,0.3,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,4,5,True,0,41.2,71.16,56.93,74.9,37.45,15/12/2018,03/01/2019,False,True,collagen-sache-laranja.png,collagen-sache-laranja.png,collagen-sache-laranja.png,,,,Nutrify,2106.90.30,7896311765232,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311765232,True,False,11,15,17,,Nutrify,Collagen Renew Laranja Caixa C/20 Sachês,collagen-renew-laranja-caixa-c-20-saches,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.",92851
A,- Colágeno,6083004,76524UN,Collagen Renew Limão 1 Un de 10g Nutrify,0.015,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,3,5,True,0,4.12,4.15,3.32,74.9,37.45,15/12/2018,03/01/2019,False,True,Collagen-Renew-Limao.png,Collagen-Renew-Limao.png,Collagen-Renew-Limao.png,,,,Nutrify,2106.90.30,7896311765089,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311765089,True,False,7,12,1,,Nutrify,Collagen Renew Limão 1 Un de 10g Nutrify,collagen-renew-limao-1-unid-de-10g-nutrify,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.",
A,- Colágeno,6062589,76524,Collagen Renew Limão Caixa C/20 Sachês,0.3,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,2,5,True,0,41.2,71.16,56.93,74.9,37.45,15/12/2018,03/01/2019,False,True,collagen-sache-limao.png,collagen-sache-limao.png,collagen-sache-limao.png,,,,Nutrify,2106.90.30,7896311765249,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311765249,True,False,11,15,17,,Nutrify,Collagen Renew Limão Caixa C/20 Sachês,collagen-renew-limao-caixa-c-20-saches,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.",92851
A,- Colágeno,6083006,76522UN,Collagen Renew Neutro 1 Un de 10g Nutrify,0.015,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,4,5,True,0,2.06,4.15,3.32,74.9,37.45,15/12/2018,03/01/2019,False,True,Collagen-Renew-Neutro.png,Collagen-Renew-Neutro.png,Collagen-Renew-Neutro.png,,,,Nutrify,2106.90.30,7896311765072,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311765072,True,False,7,12,1,,Nutrify,Collagen Renew Neutro 1 Un de 10g Nutrify,collagen-renew-neutro-1-unid-de-10g-nutrify,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.",92851
A,- Colágeno,6062591,76522,Collagen Renew Neutro Caixa C/20 Sachês,0.3,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,2,5,True,0,41.2,90.16,72.13,74.9,37.45,15/12/2018,03/01/2019,False,True,collagen-sache-neutro.png,collagen-sache-neutro.png,collagen-sache-neutro.png,,,,Nutrify,2106.90.30,7896311765225,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311765225,True,False,11,15,17,,Nutrify,Collagen Renew Neutro Caixa C/20 Sachês,nt-collagen-renew-neutro-cartu,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.",92851
A,- Colágeno,5992173,76381,Collagen Renew Sabor Laranja 300g Nutrify,0.35,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,22,5,True,0,52.14,84.5,67.6,89.9,44.95,15/12/2018,03/01/2019,True,True,colageno_laranja_nutrify_1.png,colageno_laranja_nutrify_1.png,colageno_laranja_nutrify_1.png,,,,Nutrify,2106.90.30,7896311763818,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311763818,True,False,11,9,11,,Nutrify,Collagen Renew Sabor Laranja 300g Nutrify,collagen-renew-laranja,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","92857,92858,92859,92860,92861,92862,92863,92851"
A,- Colágeno,5992172,76382,Collagen Renew Sabor Limao 300g Nutrify,0.35,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,18,5,True,0,52.14,84.5,67.6,89.9,44.95,15/12/2018,03/01/2019,True,True,colageno_limao_nutrify_1.png,colageno_limao_nutrify_1.png,colageno_limao_nutrify_1.png,,,,Nutrify,2106.90.30,7896311763825,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311763825,True,False,11,9,11,,Nutrify,Collagen Renew Sabor Limao 300g Nutrify,collagen-renew-limao,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","92857,92858,92859,92860,92861,92862,92863,92851"
A,- Colágeno,5992171,76383,Collagen Renew Sabor Neutro 300g Nutrify,0.35,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","A firmeza e a sustentação de nossa pele estão diretamente relacionadas à produção de colágeno pelo organismo, que diminui progressivamente ao longo dos anos, ocasionando flacidez e outros sinais de envelhecimento. COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência. A fórmula limpa de COLLAGEN RENEW Nutrify – sem adição de açúcar, lactose, glúten, corantes e adoçantes artificiais – oferece ainda vitaminas e minerais antioxidantes que favorecem a absorção dos peptídeos e promovem o fortalecimento de unhas e cabelos.",,True,13,5,True,0,52.14,84.5,67.6,89.9,44.95,15/12/2018,03/01/2019,True,True,collagen_nutrify.png,collagen_nutrify.png,collagen_nutrify.png,,,,Nutrify,2106.90.30,7896311763832,,200,,2,,,60,30,48577,,"nutrify,collagen renew,nutrifi,collagen nutrify,collagen",3,3,7896311763832,True,False,11,11,11,,Nutrify,Collagen Renew Sabor Neutro 300g Nutrify,collagen-renew-neutro,,"COLLAGEN RENEW Nutrify contém peptídeos bioativos de colágeno Verisol®, que ajudam a recuperar a firmeza dos tecidos, melhorando sua aparência.","92857,92858,92859,92860,92861,92862,92863,92851"
A,Novidades,5992176,76378,Fiber Balance Neutro 200g Nutrify,0.25,FIBER BALANCE Nutrify oferece um mix de fibras reguladoras – goma guar (Sunfiber®) e inulina,"Um sistema digestivo saudável favorece nosso bem-estar geral, relacionando-se com a absorção mineral e a saúde óssea, melhorando o humor e o desempenho físico e mental. A presença de fibras na alimentação é essencial para que o aparelho gastrointestinal funcione de maneira adequada. FIBER BALANCE Nutrify oferece um mix de fibras reguladoras – goma guar (Sunfiber®) e inulina – que aumenta a presença de bactérias benéficas no organismo, reforçando suas defesas naturais, favorecendo a saciedade e auxiliando no controle dos níveis séricos de açúcar. FIBER BALANCE pode ser adicionado a bebidas ou receitas de sua preferência preservando o sabor original dos alimentos, um prático aliado para aumentar o consumo diário de fibras.",,True,17,5,True,0,37.64,64.7,51.76,64.9,32.45,15/12/2018,03/01/2019,True,True,fiber_balance_nutrify.png,fiber_balance_nutrify.png,fiber_balance_nutrify.png,,,,Nutrify,2106.90.30,7896311763788,,200,,2,,,60,30,48577,,"nutrify,nutrifi,fiber balance nutrify,fiber balance,fiber balance nutrifi",3,3,7896311763788,True,False,21,9,32,,Nutrify,Fiber Balance Neutro 200g Nutrify,fiber-balance-neutro,,FIBER BALANCE Nutrify oferece um mix de fibras reguladoras – goma guar (Sunfiber®) e inulina,"92857,92858,92859,92860,92861,92862,92863,92851"
A,Novidades,5992170,76384,Glutamine 150g Nutrify,0.2,"GLUTAMINE Nutrify ajuda a preservar as células musculares no pós-exercício, proteger o sistema imune e favorecer a saúde intestinal, essencial para a absorção de outros nutrientes.","Atividades físicas intensas, estresse e baixa imunidade são alguns dos fatores que provocam queda na síntese natural de glutamina em nosso organismo, nesses casos, a suplementação desse aminoácido pode ser recomendada. Produzido com matéria-prima Ajinomoto de extrema pureza e alta absorção, isento de glúten, lactose, corantes ou aromatizantes artificiais, GLUTAMINE Nutrify ajuda a preservar as células musculares no pós-exercício, proteger o sistema imune e favorecer a saúde intestinal, essencial para a absorção de outros nutrientes.",,True,12,5,True,0,34.74,59.3,47.44,59.9,29.95,15/12/2018,03/01/2019,True,True,glutamine_nutrify_1.png,glutamine_nutrify_1.png,glutamine_nutrify_1.png,,,,Nutrify,2106.90.30,7896311763849,,200,,2,,,60,30,48577,,"nutrify,nutrifi,glutamine nutrify,glutamine,glutamine nutrifi",3,3,7896311763849,True,False,21,9,32,,Nutrify,Glutamine 150g Nutrify,glutamine-150g,,"GLUTAMINE Nutrify ajuda a preservar as células musculares no pós-exercício, proteger o sistema imune e favorecer a saúde intestinal, essencial para a absorção de outros nutrientes.","92857,92858,92859,92860,92861,92862,92863,92851"
